Authors,Authors_link,Title,Title_link,Date
"Muhammad, R. R., Aslam, F., Crawford, M., Lawson, D.","https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad,  https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,  https://pureportal.coventry.ac.uk/en/persons/farzana-aslam,  https://pureportal.coventry.ac.uk/en/persons/megan-crawford",The Scientific Approach of The Indonesian 2013 Curriculum: A Comparison with Other Active Learning Strategies in Mathematics,https://pureportal.coventry.ac.uk/en/publications/the-scientific-approach-of-the-indonesian-2013-curriculum-a-compa,15 May 2022
"Ayoubi, R., Crawford, M., Alyafei, K.","https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi,  https://pureportal.coventry.ac.uk/en/persons/megan-crawford",The student experiences of teaching and learning in transnational higher education: A phenomenographic study from a British-Qatari partnership,https://pureportal.coventry.ac.uk/en/publications/the-student-experiences-of-teaching-and-learning-in-transnational,2022
"Adefila, A., Morini, L.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,The University Colonised/Coloniser,https://pureportal.coventry.ac.uk/en/publications/the-university-colonisedcoloniser,10 Jun 2022
"Alkamari, A., Affouneh, S., Nascimbeni, F., Wimpenny, K., Eldieb, A., Jariego, I.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Using open education practices across the Mediterranean for intercultural curriculum development in higher education,https://pureportal.coventry.ac.uk/en/publications/using-open-education-practices-across-the-mediterranean-for-inter-2,2022
"Crawford, M., Langford, S.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,Walking with teachers: A study to explore the importance of teacher wellbeing and their careers,https://pureportal.coventry.ac.uk/en/publications/walking-with-teachers-a-study-to-explore-the-importance-of-teache,7 Feb 2022
"Grant, C., Tramontano, C., Charalampous, M.","https://pureportal.coventry.ac.uk/en/persons/christine-grant,  https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano",“It needs to be the right blend”: a qualitative exploration of remote e-workers’ experience and well-being at work.”,https://pureportal.coventry.ac.uk/en/publications/it-needs-to-be-the-right-blend-a-qualitative-exploration-of-remot,14 Feb 2022
"Samuels, L., Adam, N., Wimpenny, K., Mitchelle, L-M., Hagenmeier, C., Beelen, J., George, V., Jacobs, L., Viviani, A., Hodges, M., Slambee, C., Jackson, L., Obadire, S., Klamer, R., DeWinter, A.","https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,  https://pureportal.coventry.ac.uk/en/persons/alun-dewinter","Adapting a capacity-development-in-higher-education project: Doing, being and becoming virtual collaboration",https://pureportal.coventry.ac.uk/en/publications/adapting-a-capacity-development-in-higher-education-project-doing,12 Mar 2021
"Lawson, D.",https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,A history of the development of the mathematics and statistics support community in the United Kingdom.  Part 1: From alpha to sigma,https://pureportal.coventry.ac.uk/en/publications/a-history-of-the-development-of-the-mathematics-and-statistics-su,19 Jan 2021
"Crawford, M.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,"""Being"" a Head of Department in an English University",https://pureportal.coventry.ac.uk/en/publications/being-a-head-of-department-in-an-english-university,9 Dec 2021
"Smith, J., King, V., Billot, J., Clouder, L.",https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,Borderlanders: Academic Staff being and becoming Doctoral Students,https://pureportal.coventry.ac.uk/en/publications/borderlanders-academic-staff-being-and-becoming-doctoral-students,2021
"Klamer, R., DeWinter, A.",https://pureportal.coventry.ac.uk/en/persons/alun-dewinter,"Can COIL be effective in using diversity to contribute to equality? Experiences of iKudu, a European-South African consortium operating via a decolonised approach to project delivery",https://pureportal.coventry.ac.uk/en/publications/can-coil-be-effective-in-using-diversity-to-contribute-to-equalit,16 Aug 2021
"Cherkowski, S., Crawford, M., Walker, K., Kutsyuruba, B.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,Conceptualising leadership and emotions in higher education: wellbeing as wholeness,https://pureportal.coventry.ac.uk/en/publications/conceptualising-leadership-and-emotions-in-higher-education-wellb,2021
"Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Critiquing Inclusive Pedagogies: Online conversations on Inclusive online pedagogies,https://pureportal.coventry.ac.uk/en/publications/critiquing-inclusive-pedagogies-online-conversations-on-inclusive,16 Sept 2021
